#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Ë®
thyminite                                         (gct_ores:thyminite)                                                             = ÈÛÈÚĞØÏÙà×
sky_alloy                                         (gct_ores:sky_alloy)                                                             = ÈÛÈÚÌì¿ÕºÏ½ğ
lavarite                                          (gct_ores:lavarite)                                                              = ÈÛÈÚÈÛ½¬
plasmarite                                        (gct_ores:plasmarite)                                                            = ÈÛÈÚµÈÀë×Ó
bnightium                                         (gct_ores:bnightium)                                                             = ÈÛÈÚÒ¹Ã÷
guaninite                                         (gct_ores:guaninite)                                                             = ÈÛÈÚÄñàÑßÊ
fire_alloy                                        (gct_ores:fire_alloy)                                                            = ÈÛÈÚ³ãÑ×ºÏ½ğ
awakened_draconium                                (gct_ores:awakened_draconium)                                                    = ÈÛÈÚ¾õĞÑÁúËØ
chaotic_draconium                                 (gct_ores:chaotic_draconium)                                                     = ÈÛÈÚ»ìãçÁúËØ
oceanium                                          (gct_ores:oceanium)                                                              = ÈÛÈÚºÆå«
freezite                                          (gct_ores:freezite)                                                              = ÈÛÈÚ·â¾§
snowingium                                        (gct_ores:snowingium)                                                            = ÈÛÈÚËéÑ©
adeninite                                         (gct_ores:adeninite)                                                             = ÈÛÈÚÏÙàÑßÊ
ice_alloy                                         (gct_ores:ice_alloy)                                                             = ÈÛÈÚĞş±ùºÏ½ğ
everite                                           (gct_ores:everite)                                                               = ¡ìbÈÛÈÚ¡ìeÍò¡ì4»¯
genite                                            (gct_ores:genite)                                                                = ÈÛÈÚ»ùÒò½ğÊô
balanced_matrix                                   (gct_ores:balanced_matrix)                                                       = ÈÛÈÚÆ½ºâ¾ØÕó
lumixeium                                         (gct_ores:lumixeium)                                                             = Ê¥Ò«Ö®Êï¹â
noxexeum                                          (gct_ores:noxexeum)                                                              = ÉîåäÖ®°µÁ÷
tonitruium                                        (gct_ores:tonitruium)                                                            = Õ½ÀõÖ®À×Ãù
naturaeum                                         (gct_ores:naturaeum)                                                             = ¸´ËÕÖ®ÉúÌ¬
liquidcoralium                                    (abyssalcraft:cwater)                                                            = ÒºÌ¬Éºº÷
liquidantimatter                                  (abyssalcraft:antiwater)                                                         = ÒºÌ¬·´ÎïÖÊ
creosote                                          ([no block])                                                                     = ÔÓ·ÓÓÍ
coal                                              ([no block])                                                                     = ÒºÌ¬ÃºÌ¿
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Ê¯ÓÍ
refined_oil                                       ([no block])                                                                     = Ê¯ÄÔÓÍ
refined_fuel                                      ([no block])                                                                     = ¾«Á¶ÓÍ
sap                                               ([no block])                                                                     = Ê÷Ö­
syrup                                             ([no block])                                                                     = ÌÇ½¬
resin                                             ([no block])                                                                     = Ê÷Ö¬
tree_oil                                          ([no block])                                                                     = Ê÷ÓÍ
seed_oil                                          ([no block])                                                                     = ÖÖ×ÓÓÍ
biocrude                                          ([no block])                                                                     = ÉúÎïÖÊÔ­ÓÍ
refined_biofuel                                   ([no block])                                                                     = Ş½Ïã¼î
mushroom_stew                                     ([no block])                                                                     = Ä¢¹½ìÒ
experience                                        ([no block])                                                                     = ÖªÊ¶¾«»ª
potion                                            ([no block])                                                                     = Ò©Ë®
potion_splash                                     ([no block])                                                                     = Åç½¦Ò©Ë®
potion_lingering                                  ([no block])                                                                     = ÖÍÁôÒ©Ë®
redstone                                          (thermalfoundation:fluid_redstone)                                               = ²»ÎÈ¶¨ºìÊ¯
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = ³äÄÜÒºÌ¬Ó«Ê¯
ender                                             (thermalfoundation:fluid_ender)                                                  = Ğ³ÕñÄ©Ó°ÕäÖé
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = ÁÒÑæÖ®³ãìÍ
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = ¼«º®Ö®Áİ±ù
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = ·ÉÑïÖ®Çå·ç
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = °å¿éÖ®²ãÑÒ
mana                                              (thermalfoundation:fluid_mana)                                                   = ÔªÊ¼Ä§Á¦
platinum                                          (tconstruct:molten_platinum)                                                     = ÈÛÈÚ²¬
iridium                                           ([no block])                                                                     = ÈÛÈÚÒ¿
invar                                             ([no block])                                                                     = ÈÛÈÚÒó¸Ö
constantan                                        ([no block])                                                                     = ÈÛÈÚ¿µÍ­
signalum                                          (tconstruct:molten_signalum)                                                     = ÈÛÈÚĞÅËØ
lumium                                            (tconstruct:molten_lumium)                                                       = ÈÛÈÚÁ÷Ã÷
enderium                                          (tconstruct:molten_enderium)                                                     = ÈÛÈÚÄ©Ó°
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = ÈÛÈÚ´Å¸Ö
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = ÈÛÈÚ³äÄÜºÏ½ğ
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = ÈÛÈÚÂö³åºÏ½ğ
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = ÈÛÈÚºìÊ¯ºÏ½ğ
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = ÈÛÈÚµ¼µçÌú
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = ÈÛÈÚ³äÄÜÌú
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = ÈÛÈÚĞş¸Ö
soularium                                         (enderio:block_fluid_soularium)                                                  = ÈÛÈÚ»ê½ğ
end_steel                                         (enderio:block_fluid_end_steel)                                                  = ÈÛÈÚÄ©Ó°¸Ö
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = ÈÛÈÚÌúºÏ½ğ
crude_steel                                       (enderio:block_fluid_crude_steel)                                                = ÈÛÈÚ´Ö¸Ö
crystalline_alloy                                 (enderio:block_fluid_crystalline_alloy)                                          = ÈÛÈÚ¾§»¯ºÏ½ğ
melodic_alloy                                     (enderio:block_fluid_melodic_alloy)                                              = ÈÛÈÚĞıÂÉºÏ½ğ
stellar_alloy                                     (enderio:block_fluid_stellar_alloy)                                              = ÈÛÈÚºãĞÇºÏ½ğ
crystalline_pink_slime                            (enderio:block_fluid_crystalline_pink_slime)                                     = ÈÛÈÚ¾§»¯·ÛºìÕ³Òº
energetic_silver                                  (enderio:block_fluid_energetic_silver)                                           = ÈÛÈÚ³äÄÜÒø
vivid_alloy                                       (enderio:block_fluid_vivid_alloy)                                                = ÈÛÈÚÉú¶¯ºÏ½ğ
soymilk                                           (tofucraft:soymilk)                                                              = ¶¹½¬
soymilk_hell                                      (tofucraft:soymilk_hell)                                                         = Hell Soy Milk
zunda_soymilk                                     (tofucraft:zunda_soymilk)                                                        = Ã«¶¹¶¹½¬
nigari                                            (tofucraft:nigari)                                                               = ÑÎÂ±
soysauce                                          (tofucraft:soysauce)                                                             = ½´ÓÍ
fierymetal                                        (twilightforest:molten_fierymetal)                                               = ÈÛÈÚ³ãÌú
knightmetal                                       (twilightforest:molten_knightmetal)                                              = ÈÛÈÚÆïÊ¿½ğÊô
fiery_essence                                     (twilightforest:fiery_essence)                                                   = ³ãÑª¾«»ª
moltenabyssalnite                                 (acintegration:moltenabyssalnite)                                                = ÈÛÈÚÔ¨ËØ
moltenrefinedcoralium                             (acintegration:moltencoralium)                                                   = ÈÛÈÚ¾«Á¶Éºº÷
moltendreadium                                    (acintegration:moltendreadium)                                                   = ÈÛÈÚ¾åÖÊ
canolaoil                                         (actuallyadditions:block_canola_oil)                                             = ²Ë×ÑÓÍ
refinedcanolaoil                                  (actuallyadditions:block_refined_canola_oil)                                     = ¾«ÖÆ²Ë×ÑÓÍ
crystaloil                                        (actuallyadditions:block_crystal_oil)                                            = ¾§»¯ÓÍ
empoweredoil                                      (actuallyadditions:block_empowered_oil)                                          = ³äÄÜÓÍ
amber                                             (cyclicmagic:amber)                                                              = çúçê
biomass                                           (cyclicmagic:biomass)                                                            = ÉúÎïÖÊ
crystal                                           (cyclicmagic:crystal)                                                            = ºÚê×Ê¯¾§Ìå
milk                                              (cyclicmagic:milk)                                                               = Å£ÄÌ
xpjuice                                           (cyclicmagic:xpjuice)                                                            = ¾­Ñé
fusion_matrix                                     (contenttweaker:fusion_matrix)                                                   = ÈÛÈÚ¾ÛºÏ¾ØÕó
insanium                                          (contenttweaker:insanium)                                                        = ÈÛÈÚ¾¿¼«¾«»ª
ethaxium                                          (contenttweaker:ethaxium)                                                        = ÈÛÈÚÒÁÉ£Ë¹
mithrillium                                       (contenttweaker:mithrillium)                                                     = ÈÛÈÚÃØÒø
adaminite                                         (contenttweaker:adaminite)                                                       = ÈÛÈÚï¬½ğ
mithminite                                        (contenttweaker:mithminite)                                                      = ÈÛÈÚÃØ½ğ
ravaging                                          (contenttweaker:ravaging)                                                        = »ÙÃğÁ÷ÖÊ
gaia                                              (contenttweaker:gaia)                                                            = ÈÛÈÚ¸ÇÑÇ»ê¶§
terra_alloy                                       (contenttweaker:terra_alloy)                                                     = ÈÛÈÚ´óµØºÏ½ğ
cosmilite                                         (contenttweaker:cosmilite)                                                       = å¾Óî³¬Á÷Ìå
astral_metal                                      (contenttweaker:astral_metal)                                                    = ĞÇ³½Ó¿Á÷
orichalcos                                        (contenttweaker:orichalcos)                                                      = ÈÛÈÚ°ÂÀû¹ş¸Õ
ancient_debris                                    (contenttweaker:ancient_debris)                                                  = ÈÛÈÚÔ¶¹Å²Ğº¡
netherite                                         (contenttweaker:netherite)                                                       = ÈÛÈÚÏÂ½çºÏ½ğ
scorched                                          (contenttweaker:scorched)                                                        = ÈÛÈÚ¸ßÂ¯×©
organic_fluid                                     (contenttweaker:organic_fluid)                                                   = ÓĞ»úÒº
modularium                                        (contenttweaker:modularium)                                                      = ÈÛÈÚÄ£¿é»¯ºÏ½ğ
meteor                                            (contenttweaker:meteor)                                                          = ÈÛÈÚÔÉĞÇ
stainless_steel                                   (contenttweaker:stainless_steel)                                                 = ÈÛÈÚ²»Ğâ¸Ö
protonium                                         (contenttweaker:protonium)                                                       = ¼«ÃÜÖÊ×ÓÁ÷Ìå
electronium                                       (contenttweaker:electronium)                                                     = Õ³ĞÔµç×ÓÁ÷ÖÊ
crimsonite                                        (contenttweaker:crimsonite)                                                      = ĞÉºì½¬Òº
manganese_steel                                   (contenttweaker:manganese_steel)                                                 = ÈÛÈÚÃÌ¸Ö
durasteel                                         (contenttweaker:durasteel)                                                       = ÈÛÈÚÄÍ¸Ö
aeonsteel                                         (contenttweaker:aeonsteel)                                                       = ÈÛÈÚºã¸Ö
chromasteel                                       (contenttweaker:chromasteel)                                                     = ÈÛÈÚìÅ¸Ö
spectre                                           (contenttweaker:spectre)                                                         = Áé»êÖ®Èª
gaiasteel                                         (contenttweaker:gaiasteel)                                                       = ÈÛÈÚ¸ÇÑÇ¸Ö
blackiron                                         (contenttweaker:blackiron)                                                       = ÈÛÈÚºÚÌú
heavenite                                         (contenttweaker:heavenite)                                                       = ÈÛÈÚñ·½ğ
ghostite                                          (contenttweaker:ghostite)                                                        = ÈÛÈÚ¹í½ğ
waringlium                                        (contenttweaker:waringlium)                                                      = ÈÛÈÚÍßÂ×¸ñ¶û
tierite                                           (contenttweaker:tierite)                                                         = ÈÛÈÚ²øÈÆºÏ½ğ
cheatieum                                         (contenttweaker:cheatieum)                                                       = ÈÛÈÚ¹îÊõºÏ½ğ
idiessite                                         (contenttweaker:idiessite)                                                       = ÈÛÈÚÒÁµÏË¹
cthoghate                                         (contenttweaker:cthoghate)                                                       = ÈÛÈÚ¿ËÍ¼¸ñÑÇ
ranglium                                          (contenttweaker:ranglium)                                                        = ÈÛÈÚÂÍ½ğ
godiarite                                         (contenttweaker:godiarite)                                                       = ÈÛÈÚÌìÓÓºÏ½ğ
rainite                                           (contenttweaker:rainite)                                                         = ÈÛÈÚ±©ÓêºÏ½ğ
panloeseum                                        (contenttweaker:panloeseum)                                                      = ÈÛÈÚÅËÂåË¹
husturite                                         (contenttweaker:husturite)                                                       = ÈÛÈÚ¹şË¹Ëş
fallenium                                         (contenttweaker:fallenium)                                                       = ÈÛÈÚÂä½ğ
phoenixite                                        (contenttweaker:phoenixite)                                                      = ÈÛÈÚ·ï»ËºÏ½ğ
depthite                                          (contenttweaker:depthite)                                                        = ÈÛÈÚÉîåäºÏ½ğ
lovaquite                                         (contenttweaker:lovaquite)                                                       = ÈÛÈÚÂåÍß¿Ë
rangolarite                                       (contenttweaker:rangolarite)                                                     = ÈÛÈÚÀÊ¸ñÀ­
clearite                                          (contenttweaker:clearite)                                                        = ÈÛÈÚÇçÌìºÏ½ğ
wefenium                                          (contenttweaker:wefenium)                                                        = ÈÛÈÚ¼â¾§
errorite                                          (contenttweaker:errorite)                                                        = ÈÛÈÚ´íÎóºÏ½ğ
numbereum                                         (contenttweaker:numbereum)                                                       = ÈÛÈÚÊı×ÖºÏ½ğ
treasurite                                        (contenttweaker:treasurite)                                                      = ÈÛÈÚ±¦½ğ
leadite                                           (contenttweaker:leadite)                                                         = ÈÛÈÚµ¼½ğ
martisite                                         (contenttweaker:martisite)                                                       = ÈÛÈÚÕ½ÉñºÏ½ğ
flashite                                          (contenttweaker:flashite)                                                        = ÈÛÈÚÉÁ½ğ
overlaite                                         (contenttweaker:overlaite)                                                       = ÈÛÈÚµş½ğ
rupee                                             (contenttweaker:rupee)                                                           = ÈÛÈÚÂ¬±È
realmite                                          (contenttweaker:realmite)                                                        = ÈÛÈÚÅµÃ×ÌØ
arlemite                                          (contenttweaker:arlemite)                                                        = ÈÛÈÚ°¢ÀÕÃ×ÌØ
shadow_bar                                        (contenttweaker:shadow_bar)                                                      = ÈÛÈÚÒõÓ°
hellstone                                         (contenttweaker:hellstone)                                                       = ÈÛÈÚ×ï¶ñ
lava_solid                                        (contenttweaker:lava_solid)                                                      = ÈÛÈÚ¹ÌÌ¬ÑÒ½¬
balancite                                         (contenttweaker:balancite)                                                       = ÈÛÈÚÊØºãºÏ½ğ
glowing_signalum                                  (contenttweaker:glowing_signalum)                                                = ÈÛÈÚÓ«¹âĞÅËØ
fallen_metal                                      (contenttweaker:fallen_metal)                                                    = ¶éÂä¾ÛºÏÎï
relifed_metal                                     (contenttweaker:relifed_metal)                                                   = ÖØÉú¾ÛºÏÎï
stormy_metal                                      (contenttweaker:stormy_metal)                                                    = ·ç±©½â¹¹ÖÊ
ordered_metal                                     (contenttweaker:ordered_metal)                                                   = ÖÈĞò³¬Á÷ÖÊ
finallium                                         (contenttweaker:finallium)                                                       = ÖÕÑÉÁéÌåÒº
eden                                              (contenttweaker:eden)                                                            = ÈÛÈÚÒÁµé
wildwood                                          (contenttweaker:wildwood)                                                        = ÈÛÈÚÔ­Ê¼
apalachia                                         (contenttweaker:apalachia)                                                       = ÈÛÈÚ°¢ÅÁÀ­ÆõÑÇ
skythern                                          (contenttweaker:skythern)                                                        = ÈÛÈÚ±ù´Ì
mortum                                            (contenttweaker:mortum)                                                          = ÈÛÈÚºÚ½ğ
twilight_crystal                                  (contenttweaker:twilight_crystal)                                                = ÈÛÈÚÄº¹â½á¾§
hellcrust                                         (contenttweaker:hellcrust)                                                       = ÈÛÈÚ½¹ÑÒ
umbra                                             (contenttweaker:umbra)                                                           = ÈÛÈÚ±¾Ó°
crystalline                                       (contenttweaker:crystalline)                                                     = ÈÛÈÚÔÂÄı¾§
aurorianite                                       (contenttweaker:aurorianite)                                                     = ÈÛÈÚ¼«¹â
niobium                                           (contenttweaker:niobium)                                                         = ÈÛÈÚîê
horizonite                                        (contenttweaker:horizonite)                                                      = ÈÛÈÚÖËÌú
falsite                                           (contenttweaker:falsite)                                                         = ÈÛÈÚçÑÌú
ventium                                           (contenttweaker:ventium)                                                         = ÈÛÈÚÁ­÷øÌú
apocalypsium                                      (contenttweaker:apocalypsium)                                                    = ÈÛÈÚÌìÆô
sanite                                            (contenttweaker:sanite)                                                          = ÈÛÈÚÁéÉñ¸Ö
harcadium                                         (contenttweaker:harcadium)                                                       = ÈÛÈÚÄ©¾§
void_essence                                      (contenttweaker:void_essence)                                                    = ÈÛÈÚĞé¿Õ¾«»ª
adamantium                                        (contenttweaker:adamantium)                                                      = ÈÛÈÚ°¬µÂÂüºÏ½ğ
hellite                                           (contenttweaker:hellite)                                                         = ÈÛÈÚÁ¶Óü½ğÊô
blackhole_alloy                                   (contenttweaker:blackhole_alloy)                                                 = ÈÛÈÚºÚ¶´ºÏ½ğ
creative_alloy                                    (contenttweaker:creative_alloy)                                                  = ÈÛÈÚ´´ÊÀºÏ½ğ
ruthenium                                         (contenttweaker:ruthenium)                                                       = ÈÛÈÚîÉ
rhodium                                           (contenttweaker:rhodium)                                                         = ÈÛÈÚîî
porpezite                                         (contenttweaker:porpezite)                                                       = ÈÛÈÚîÙ½ğ
raisium                                           (contenttweaker:raisium)                                                         = ÈÛÈÚÑïÉıºÏ½ğ
astronicium                                       (contenttweaker:astronicium)                                                     = ÈÛÈÚÌ«¿ÕºÏ½ğ
compressite                                       (contenttweaker:compressite)                                                     = ÈÛÈÚ¼«ÃÜºÏ½ğ
dullium                                           (contenttweaker:dullium)                                                         = ÈÛÈÚ³Á÷ö
daynight                                          (contenttweaker:daynight)                                                        = ÈÛÈÚÖçÒ¹ºÏ½ğ
mythsteel                                         (contenttweaker:mythsteel)                                                       = ÈÛÈÚÉñ»°¸Ö
cthulhurite                                       (contenttweaker:cthulhurite)                                                     = Éîº£Ö®ºôÎü
elfsteel                                          (contenttweaker:elfsteel)                                                        = ÈÛÈÚ¾«Áé¸Ö
chillinium                                        (contenttweaker:chillinium)                                                      = ÈÛÈÚº®ĞÄÌú
iciricium                                         (contenttweaker:iciricium)                                                       = ÈÛÈÚ±ùÎÆ½ğ
moltenium                                         (contenttweaker:moltenium)                                                       = ÈÛÈÚÑ×ÈÛ¾§
typhoonite                                        (contenttweaker:typhoonite)                                                      = ÈÛÈÚì«·çºÏ½ğ
liquidlegend                                      (contenttweaker:liquidlegend)                                                    = ÈÙÒ«½¬Òº
thermallite                                       (contenttweaker:thermallite)                                                     = ¼«ÖÂ³ãÈÈÁ÷Ìå
liquid_air                                        (contenttweaker:liquid_air)                                                      = ÒºÌ¬¿ÕÆø
hydrochloric_acid                                 (contenttweaker:hydrochloric_acid)                                               = ÑÎËá
nitric_acid                                       (contenttweaker:nitric_acid)                                                     = ÏõËá
nitrogen_oxide                                    (contenttweaker:nitrogen_oxide)                                                  = Ò»Ñõ»¯µª
nitrogen_dioxide                                  (contenttweaker:nitrogen_dioxide)                                                = ¶şÑõ»¯µª
fluidedmana                                       (extrabotany:fluidedmana)                                                        = ÒºÌ¬Ä§Á¦
swamp_water                                       (thebetweenlands:swamp_water)                                                    = ÕÓÔóµÄË®
stagnant_water                                    (thebetweenlands:stagnant_water)                                                 = ËÀË®
tar                                               (thebetweenlands:tar)                                                            = ½¹ÓÍ
rubber                                            (thebetweenlands:rubber)                                                         = Ïğ½ºÒº
fog                                               ([no block])                                                                     = ÎíÆø
shallowbreath                                     ([no block])                                                                     = ÕÓÔóÖ®Ï¢
bio.ethanol                                       (forestry:fluid.bio.ethanol)                                                     = ÒÒ´¼
for.honey                                         (forestry:fluid.for.honey)                                                       = ·äÃÛ
ice                                               (forestry:fluid.ice)                                                             = Ëé±ù
juice                                             (forestry:fluid.juice)                                                           = ¹ûÖ­
seed.oil                                          (forestry:fluid.seed.oil)                                                        = ÖÖ×ÓÓÍ
short.mead                                        (forestry:fluid.short.mead)                                                      = ·äÃÛ¾Æ
binnie.growth.medium                              (genetics:binnie.growth.medium)                                                  = ÅàÑø»ù
binnie.bacteria                                   (genetics:binnie.bacteria)                                                       = Ï¸¾ú
binnie.bacteria.poly                              (genetics:binnie.bacteria.poly)                                                  = ¾ÛºÏ¾ú
binnie.dna.raw                                    (genetics:binnie.dna.raw)                                                        = Ô­Éú DNA
binnie.bacteria.vector                            (genetics:binnie.bacteria.vector)                                                = Ï¸¾úÖÊÁ£
binnie.sap                                        (extratrees:binnie.sap)                                                          = Ê÷Òº
binnie.resin                                      (extratrees:binnie.resin)                                                        = Ê÷Ö¬
binnie.latex                                      (extratrees:binnie.latex)                                                        = ½ºÈé
binnie.turpentine                                 (extratrees:binnie.turpentine)                                                   = ËÉ½ÚÓÍ
binnie.juice.apple                                (extratrees:binnie.juice.apple)                                                  = Æ»¹ûÖ­
binnie.juice.apricot                              (extratrees:binnie.juice.apricot)                                                = ĞÓÖ­
binnie.juice.banana                               (extratrees:binnie.juice.banana)                                                 = Ïã½¶Ö­
binnie.juice.cherry                               (extratrees:binnie.juice.cherry)                                                 = Ó£ÌÒÖ­
binnie.juice.elderberry                           (extratrees:binnie.juice.elderberry)                                             = ½Ó¹ÇÄ¾İ®Ö­
binnie.juice.lemon                                (extratrees:binnie.juice.lemon)                                                  = ÄûÃÊÖ­
binnie.juice.lime                                 (extratrees:binnie.juice.lime)                                                   = ÇàÄûÖ­
binnie.juice.orange                               (extratrees:binnie.juice.orange)                                                 = ³ÈÖ­
binnie.juice.peach                                (extratrees:binnie.juice.peach)                                                  = ÌÒÖ­
binnie.juice.plum                                 (extratrees:binnie.juice.plum)                                                   = ÀîÖ­
binnie.juice.carrot                               (extratrees:binnie.juice.carrot)                                                 = ºúÂÜ²·Ö­
binnie.juice.tomato                               (extratrees:binnie.juice.tomato)                                                 = ·¬ÇÑÖ­
binnie.juice.cranberry                            (extratrees:binnie.juice.cranberry)                                              = ÂûÔ½İ®Ö­
binnie.juice.grapefruit                           (extratrees:binnie.juice.grapefruit)                                             = ÆÏÌÑèÖÖ­
binnie.juice.olive                                (extratrees:binnie.juice.olive)                                                  = éÏé­ÓÍ
binnie.juice.pineapple                            (extratrees:binnie.juice.pineapple)                                              = ²¤ÂÜÖ­
binnie.juice.pear                                 (extratrees:binnie.juice.pear)                                                   = ÀæÖ­
binnie.juice.white.grape                          (extratrees:binnie.juice.white.grape)                                            = °×ÆÏÌÑÖ­
binnie.juice.red.grape                            (extratrees:binnie.juice.red.grape)                                              = ºìÆÏÌÑÖ­
binnie.cider.apple                                (extratrees:binnie.cider.apple)                                                  = Æ»¹û¾Æ
binnie.wine.apricot                               (extratrees:binnie.wine.apricot)                                                 = ĞÓ¾Æ
binnie.wine.banana                                (extratrees:binnie.wine.banana)                                                  = Ïã½¶¾Æ
binnie.wine.cherry                                (extratrees:binnie.wine.cherry)                                                  = Ó£ÌÒ¾Æ
binnie.wine.elderberry                            (extratrees:binnie.wine.elderberry)                                              = ½Ó¹ÇÄ¾¹û¾Æ
binnie.cider.peach                                (extratrees:binnie.cider.peach)                                                  = ÌÒ×Ó¾Æ
binnie.ciderpear                                  (extratrees:binnie.ciderpear)                                                    = Àæ¾Æ
binnie.wine.plum                                  (extratrees:binnie.wine.plum)                                                    = Àî×Ó¾Æ
binnie.wine.carrot                                (extratrees:binnie.wine.carrot)                                                  = ºúÂÜ²·¾Æ
